Year,Week,Bad_days_count,Total_days,AQI_weekly_mean,AQI_weekly_max,PM25_weekly_mean,PM10_weekly_mean,O3_weekly_mean,NO2_weekly_mean,CO_weekly_mean,is_bad_air_week,Main_pollutant,Main_pollutant_AQI
2015,1,0,4,38.233333333333334,51.0,,30.883333333333333,,,,0,PM10,30.883333333333333
2015,2,0,7,29.428571428571427,48.0,,17.714285714285715,,,,0,PM10,17.714285714285715
2015,3,0,7,22.085714285714285,34.0,,11.028571428571428,,,,0,PM10,11.028571428571428
2015,4,0,7,25.857142857142858,38.0,,21.066666666666666,,,,0,PM10,21.066666666666666
2015,5,0,7,15.171428571428573,28.0,,12.20952380952381,,,,0,PM10,12.20952380952381
2015,6,0,7,19.21904761904762,34.0,,14.942857142857141,,,,0,PM10,14.942857142857141
2015,7,0,7,25.190476190476193,37.0,,22.23809523809524,,,,0,PM10,22.23809523809524
2015,8,0,7,26.390476190476193,42.0,,22.752380952380953,,,,0,PM10,22.752380952380953
2015,9,0,7,26.02857142857143,47.0,,20.685714285714287,,,,0,PM10,20.685714285714287
2015,10,0,7,34.55238095238095,61.0,,33.923809523809524,,,,0,PM10,33.923809523809524
2015,11,0,7,38.21904761904762,61.0,,43.093333333333334,,,,0,PM10,43.093333333333334
2015,12,0,7,32.53333333333333,46.0,,33.31111111111111,,,,0,PM10,33.31111111111111
2015,13,0,7,22.952380952380956,39.0,,21.552380952380954,,,,0,PM10,21.552380952380954
2015,14,0,7,30.20952380952381,51.0,,30.20952380952381,,,,0,PM10,30.20952380952381
2015,15,0,7,10.523809523809524,17.0,,10.523809523809524,,,,0,PM10,10.523809523809524
2015,16,0,7,26.923809523809524,50.0,,26.314285714285713,,,,0,PM10,26.314285714285713
2015,17,0,7,18.58095238095238,35.0,,12.495238095238095,,,,0,PM10,12.495238095238095
2015,18,0,7,16.495238095238097,24.0,,14.799999999999999,,,,0,PM10,14.799999999999999
2015,19,1,7,41.80952380952381,168.0,,40.27619047619048,,,,0,PM10,40.27619047619048
2015,20,0,7,33.50476190476191,77.0,54.38333333333333,17.933333333333334,,,,0,PM25,54.38333333333333
2015,21,0,7,38.56190476190476,97.0,53.266666666666666,18.59047619047619,,,,0,PM25,53.266666666666666
2015,22,0,7,23.495238095238097,35.0,,21.076190476190476,,,,0,PM10,21.076190476190476
2015,23,0,7,26.16190476190476,80.0,74.625,19.914285714285715,,,,0,PM25,74.625
2015,24,0,7,28.83809523809524,48.0,30.306666666666665,20.4,,,,0,PM25,30.306666666666665
2015,25,0,7,20.057142857142857,33.0,19.88888888888889,8.78888888888889,,,,0,PM25,19.88888888888889
2015,26,0,7,36.98095238095238,50.0,36.952380952380956,23.58095238095238,,,,0,PM25,36.952380952380956
2015,27,0,7,41.771428571428565,53.0,41.771428571428565,25.61904761904762,,,,0,PM25,41.771428571428565
2015,28,0,7,31.819047619047616,45.0,29.285714285714285,22.095238095238095,,,,0,PM25,29.285714285714285
2015,29,0,7,22.39047619047619,33.0,15.942857142857141,9.914285714285715,,,,0,PM25,15.942857142857141
2015,30,0,7,27.085714285714285,50.0,24.427380952380954,17.03809523809524,,,,0,PM25,24.427380952380954
2015,31,0,7,23.657142857142855,36.0,19.323809523809523,18.542857142857144,,,,0,PM25,19.323809523809523
2015,32,0,7,22.104761904761908,28.0,17.36190476190476,13.447619047619048,,,,0,PM25,17.36190476190476
2015,33,0,7,21.552380952380954,35.0,20.77777777777778,18.22222222222222,,,,0,PM25,20.77777777777778
2015,34,0,7,34.352380952380955,58.0,32.352380952380955,28.485714285714288,,,,0,PM25,32.352380952380955
2015,35,0,7,22.857142857142858,32.0,12.638095238095238,9.847619047619048,,,,0,PM25,12.638095238095238
2015,36,0,7,26.314285714285713,34.0,23.495238095238097,21.25714285714286,,,,0,PM25,23.495238095238097
2015,37,0,7,28.933333333333334,51.0,26.495238095238097,22.095238095238095,,,,0,PM25,26.495238095238097
2015,38,0,7,25.83809523809524,36.0,20.38095238095238,22.866666666666667,,,,0,PM10,22.866666666666667
2015,39,0,7,24.17142857142857,31.0,14.514285714285714,19.21904761904762,,,,0,PM10,19.21904761904762
2015,40,0,7,34.733333333333334,48.0,28.35238095238095,34.666666666666664,,,,0,PM10,34.666666666666664
2015,41,0,7,39.0,58.0,29.476190476190478,37.38095238095239,,,,0,PM10,37.38095238095239
2015,42,0,7,30.695238095238096,45.0,25.99047619047619,27.476190476190478,,,,0,PM10,27.476190476190478
2015,43,0,7,25.82857142857143,37.0,22.771428571428572,20.752380952380953,,,,0,PM25,22.771428571428572
2015,44,0,7,30.59047619047619,42.0,23.755555555555556,26.36190476190476,,,,0,PM10,26.36190476190476
2015,45,0,7,19.723809523809525,28.0,12.61904761904762,12.39047619047619,,,,0,PM25,12.61904761904762
2015,46,0,7,20.0,36.0,16.123809523809523,14.438095238095238,,,,0,PM25,16.123809523809523
2015,47,0,7,32.89523809523809,56.0,26.37142857142857,30.99047619047619,,,,0,PM10,30.99047619047619
2015,48,0,7,33.77142857142857,54.0,26.228571428571428,32.79047619047619,,,,0,PM10,32.79047619047619
2015,49,0,7,31.380952380952383,47.0,24.10787878787879,29.35238095238095,,,,0,PM10,29.35238095238095
2015,50,0,7,35.94285714285714,70.0,24.62857142857143,34.49523809523809,,,,0,PM10,34.49523809523809
2015,51,0,7,37.219047619047615,46.0,32.76190476190476,32.009523809523806,,,,0,PM25,32.76190476190476
2015,52,0,7,21.085714285714285,27.0,18.58095238095238,17.066666666666666,,,,0,PM25,18.58095238095238
