Year,Week,Max_Temp_C_mean,Max_Temp_C_max,Max_Temp_C_std,Min_Temp_C_mean,Min_Temp_C_min,Min_Temp_C_std,Temp_Range_mean,Temp_Range_max,Rainfall_mm_sum,Rainfall_mm_max,Rainfall_mm_rainy_days,Evaporation_mm_mean,Evaporation_mm_sum,Radiation_MJ_m2_mean,Radiation_MJ_m2_sum,Vapour_Pressure_hPa_mean,Vapour_Pressure_hPa_min,Vapour_Pressure_hPa_max,RH_at_Max_Temp_pct_mean,RH_at_Max_Temp_pct_min,RH_at_Min_Temp_pct_mean,RH_at_Min_Temp_pct_max,Deaths,is_surge,Bad_days_count,Total_days,AQI_weekly_mean,AQI_weekly_max,PM25_weekly_mean,PM10_weekly_mean,O3_weekly_mean,NO2_weekly_mean,CO_weekly_mean,is_bad_air_week,Main_pollutant,Main_pollutant_AQI,AQI_weekly_mean_lag1,AQI_weekly_mean_lag2,AQI_weekly_mean_lag4,PM25_weekly_mean_lag1,PM25_weekly_mean_lag2,PM25_weekly_mean_lag4,PM10_weekly_mean_lag1,PM10_weekly_mean_lag2,PM10_weekly_mean_lag4,O3_weekly_mean_lag1,O3_weekly_mean_lag2,O3_weekly_mean_lag4
2015,1,0.8237321516494336,0.7208588957055215,0.1073718928630967,0.7786985880908532,0.737704918032787,0.429749485773549,0.8094170403587444,0.7127659574468086,0.0,0.0,0.0,0.8192534381139489,0.4361493123772102,0.8512893982808023,0.377650429799427,0.7897672162948595,0.8283582089552239,0.7322404371584701,0.2506191524490918,0.3395833333333333,0.9477401129943506,1.0,40.0,0,0.0,4,0.083750355604384,0.0358649789029535,0.1465179796205633,0.0833253050738599,0.5377964715504147,0.0,0.0,0.0,PM10,0.0908202292716812,0.083750355604384,0.083750355604384,0.083750355604384,0.1465179796205633,0.1465179796205633,0.1465179796205633,0.0833253050738599,0.0833253050738599,0.0833253050738599,0.5377964715504147,0.5377964715504147,0.5377964715504147
2015,2,0.6745445593303789,0.6993865030674846,0.4872453868906613,0.8815224063842849,0.889344262295082,0.2013552083147849,0.3874439461883407,0.553191489361702,0.6759410801963993,0.6024759284731773,1.0,0.5579567779960708,0.5579567779960708,0.4997134670487105,0.4997134670487105,0.8894277400581962,0.9477611940298508,0.7486338797814207,0.5247660979636763,0.5041666666666667,0.9499596448748996,1.0,36.0,0,0.0,7,0.0571384966058437,0.0327004219409282,0.1465179796205633,0.0389210019267822,0.5377964715504147,0.0,0.0,0.0,PM10,0.0520933240136696,0.083750355604384,0.083750355604384,0.083750355604384,0.1465179796205633,0.1465179796205633,0.1465179796205633,0.0833253050738599,0.0833253050738599,0.0833253050738599,0.5377964715504147,0.5377964715504147,0.5377964715504147
2015,3,0.5593303791235843,0.50920245398773,0.1657804083401644,0.752608962553714,0.6639344262295083,0.4586502311692686,0.3659192825112107,0.5265957446808509,0.1677577741407528,0.2585969738651994,0.3333333333333333,0.6110019646365422,0.6110019646365422,0.8143266475644699,0.8143266475644699,0.5470417070805045,0.4477611940298507,0.5245901639344261,0.4100165107319757,0.3645833333333333,0.6452784503631965,1.0,38.0,0,0.0,7,0.0349451561105765,0.0179324894514767,0.1465179796205633,0.0163776493256262,0.5377964715504147,0.0,0.0,0.0,PM10,0.0324322952730265,0.0571384966058437,0.083750355604384,0.083750355604384,0.1465179796205633,0.1465179796205633,0.1465179796205633,0.0389210019267822,0.0833253050738599,0.0833253050738599,0.5377964715504147,0.5377964715504147,0.5377964715504147
2015,4,0.6356474643032988,0.6411042944785277,0.4165907914014586,0.8305709023941069,0.8401639344262297,0.1541372616420993,0.3910313901345291,0.4414893617021276,0.2618657937806874,0.4126547455295736,0.5,0.6444007858546169,0.6444007858546169,0.6613180515759314,0.6613180515759312,0.8225024248302619,0.7014925373134329,0.8087431693989071,0.5055035773252613,0.6145833333333333,0.9164648910411616,1.0,36.0,0,0.0,7,0.0463440702949161,0.0221518987341772,0.1465179796205633,0.0502247912652536,0.5377964715504147,0.0,0.0,0.0,PM10,0.0619518455474393,0.0349451561105765,0.0571384966058437,0.083750355604384,0.1465179796205633,0.1465179796205633,0.1465179796205633,0.0163776493256262,0.0389210019267822,0.0833253050738599,0.5377964715504147,0.5377964715504147,0.5377964715504147
2015,5,0.4372230428360413,0.4233128834355827,0.249541677822736,0.6599140577041129,0.6270491803278689,0.3618742830673551,0.2789237668161434,0.3617021276595742,0.0098199672667757,0.0110041265474552,0.3333333333333333,0.4675834970530451,0.4675834970530452,0.518624641833811,0.518624641833811,0.3996120271580989,0.380597014925373,0.3770491803278687,0.4457897633461749,0.5083333333333333,0.64769975786925,0.845070422535211,29.0,0,0.0,7,0.0140471467726205,0.0116033755274261,0.1465179796205633,0.0203596660244059,0.5377964715504147,0.0,0.0,0.0,PM10,0.0359051835406045,0.0463440702949161,0.0349451561105765,0.083750355604384,0.1465179796205633,0.1465179796205633,0.1465179796205633,0.0502247912652536,0.0163776493256262,0.0833253050738599,0.5377964715504147,0.5377964715504147,0.5377964715504147
2015,6,0.606105366814377,0.7116564417177913,0.5337648219084,0.661755678330264,0.6434426229508198,0.1772181111577856,0.5838565022421525,0.6595744680851063,0.0769230769230769,0.1292984869325997,0.1666666666666666,0.6876227897838899,0.6876227897838899,0.7375358166189111,0.7375358166189112,0.4936954413191078,0.5373134328358209,0.4426229508196721,0.3106769400110071,0.3354166666666666,0.8793381759483461,1.0,41.0,0,0.0,7,0.0262808299250052,0.0179324894514767,0.1465179796205633,0.0295761078998073,0.5377964715504147,0.0,0.0,0.0,PM10,0.0439432394502406,0.0140471467726205,0.0463440702949161,0.0571384966058437,0.1465179796205633,0.1465179796205633,0.1465179796205633,0.0203596660244059,0.0502247912652536,0.0389210019267822,0.5377964715504147,0.5377964715504147,0.5377964715504147
2015,7,0.5952732644017723,0.5828220858895705,0.3222478349453962,0.8508287292817679,0.8688524590163935,0.1070677607003942,0.2878923766816144,0.2819148936170212,0.0229132569558101,0.0385144429160935,0.1666666666666666,0.5304518664047151,0.5304518664047152,0.4120343839541547,0.4120343839541547,0.735208535402522,0.835820895522388,0.6010928961748634,0.5132085855806273,0.5979166666666667,0.8058918482647297,1.0,32.0,0,0.0,7,0.0443291107168763,0.0210970464135021,0.1465179796205633,0.05417469492614,0.5377964715504147,0.0,0.0,0.0,PM10,0.0653967266515691,0.0262808299250052,0.0140471467726205,0.0349451561105765,0.1465179796205633,0.1465179796205633,0.1465179796205633,0.0295761078998073,0.0203596660244059,0.0163776493256262,0.5377964715504147,0.5377964715504147,0.5377964715504147
2015,8,0.6991629739044805,0.6349693251533743,0.1244607037442177,0.79987722529159,0.8360655737704918,0.0593639997429409,0.5515695067264572,0.4840425531914892,0.0,0.0,0.0,0.5559921414538311,0.555992141453831,0.6171919770773638,0.6171919770773638,0.7681862269641127,0.8582089552238805,0.6557377049180328,0.3838745184369839,0.5249999999999999,0.980629539951574,1.0,37.0,0,0.0,7,0.0479560379573479,0.0263713080168776,0.1465179796205633,0.0559087989723828,0.5377964715504147,0.0,0.0,0.0,PM10,0.0669091134777724,0.0443291107168763,0.0262808299250052,0.0463440702949161,0.1465179796205633,0.1465179796205633,0.1465179796205633,0.05417469492614,0.0295761078998073,0.0502247912652536,0.5377964715504147,0.5377964715504147,0.5377964715504147
2015,9,0.639586410635155,0.6503067484662577,0.4796315547527636,0.8004910988336403,0.7991803278688525,0.1114353687172457,0.4421524663677129,0.4840425531914892,0.0392798690671031,0.0577716643741403,0.3333333333333333,0.5166994106090372,0.5166994106090373,0.4292263610315185,0.4292263610315187,0.6944713870029098,0.7462686567164178,0.5901639344262295,0.4223995597138138,0.4666666666666667,0.8631961259079903,1.0,40.0,0,0.0,7,0.0468622027578406,0.0316455696202531,0.1465179796205633,0.0489402697495183,0.5377964715504147,0.0,0.0,0.0,PM10,0.0608315590095109,0.0479560379573479,0.0443291107168763,0.0140471467726205,0.1465179796205633,0.1465179796205633,0.1465179796205633,0.0559087989723828,0.05417469492614,0.0203596660244059,0.5377964715504147,0.5377964715504147,0.5377964715504147
2015,10,0.5987198424421466,0.5736196319018405,0.2982124685392766,0.6243093922651933,0.5573770491803279,0.4933156530143507,0.6251121076233186,0.6063829787234043,0.0,0.0,0.0,0.5795677799607072,0.5795677799607072,0.6240687679083092,0.6240687679083093,0.3724539282250242,0.1343283582089552,0.4863387978142076,0.1959273527793065,0.1770833333333333,0.6327683615819211,1.0,34.0,0,0.0,7,0.0726249002199213,0.0464135021097046,0.1465179796205633,0.093577392421323,0.5377964715504147,0.0,0.0,0.0,PM10,0.0997615162025221,0.0468622027578406,0.0479560379573479,0.0262808299250052,0.1465179796205633,0.1465179796205633,0.1465179796205633,0.0489402697495183,0.0559087989723828,0.0295761078998073,0.5377964715504147,0.5377964715504147,0.5377964715504147
